Emploi du temps : 2022-2023- Formation : ING3 semaine B - Option CS Groupe2,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 12/09/2022,,mardi 13/09/2022,,mercredi 14/09/2022,,jeudi 15/09/2022,,vendredi 16/09/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 19/09/2022,,mardi 20/09/2022,,mercredi 21/09/2022,,jeudi 22/09/2022,,vendredi 23/09/2022
,Accueil + Cryptographie,,"Nahco3
Reverse Engineering (rétro-ingénerie)
de 10h à 18h",,"Nahco3
Détection & Analyse des vulnérabilités 
(Detection & Analysis of vulnerabilities)
de 10h à 18h",,"Nahco3
Détection & Analyse des vulnérabilités 
(Detection & Analysis of vulnerabilities)
de 10h à 18h",,"Nahco3
Détection & Analyse des vulnérabilités 
(Detection & Analysis of vulnerabilities)
de 10h à 18h"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 26/09/2022,,mardi 27/09/2022,,mercredi 28/09/2022,,jeudi 29/09/2022,,vendredi 30/09/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 03/10/2022,,mardi 04/10/2022,,mercredi 05/10/2022,,jeudi 06/10/2022,,vendredi 07/10/2022
,Cryptographie,,ISO 2700x,,"Nahco3
Reverse Engineering (rétro-ingénerie)
de 10h à 18h",,,,Cours Securité du matériel au logiciel
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 10/10/2022,,mardi 11/10/2022,,mercredi 12/10/2022,,jeudi 13/10/2022,,vendredi 14/10/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 17/10/2022,,mardi 18/10/2022,,mercredi 19/10/2022,,jeudi 20/10/2022,,vendredi 21/10/2022
,Cryptographie,,"Nahco3
Sécurité des systèmes industriels (SCADA) 
(Security of industrial systems (SCADA))
de 10h à 18h",,"Nahco3
Sécurité des systèmes industriels (SCADA) 
(Security of industrial systems (SCADA))
de 10h à 18h",,Cryptographie,,ISO 2700x
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 24/10/2022,,mardi 25/10/2022,,mercredi 26/10/2022,,jeudi 27/10/2022,,vendredi 28/10/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Semaine 31/10 - Vacances de la Toussaint,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 07/11/2022,,mardi 08/11/2022,,mercredi 09/11/2022,,jeudi 10/11/2022,,vendredi 11/11/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 14/11/2022,,mardi 15/11/2022,,mercredi 16/11/2022,,jeudi 17/11/2022,,vendredi 18/11/2022
,Cryptographie,,Cours Securité du matériel au logiciel,,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h",,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h",,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 21/11/2022,,mardi 22/11/2022,,mercredi 23/11/2022,,jeudi 24/11/2022,,vendredi 25/11/2022
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 28/11/2022,,mardi 29/11/2022,,mercredi 30/11/2022,,jeudi 01/12/2022,,vendredi 02/12/2022
,"Harmononie Technologie 
Blockchain
",,ISO 2700x,,"Nahco3
Reverse Engineering (rétro-ingénerie)
de 10h à 18h",,"Nahco3
Reverse Engineering (rétro-ingénerie)
de 10h à 18h",,ISO 2700x
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ATTENTION : Jour commun donc cours en distanciel. ,,,,,,,,
,lundi 05/12/2022,,mardi 06/12/2022,,mercredi 07/12/2022,,jeudi 08/12/2022,,vendredi 09/12/2022
,Cours Securité du matériel au logiciel (cours en amphis),,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 12/12/2022,,mardi 13/12/2022,,mercredi 14/12/2022,,jeudi 15/12/2022,,vendredi 16/12/2022
,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h",,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h",,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h",,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h",,"Nahco3
Tests d'intrusion 
(PenTest)
de 10h à 18h"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Semaine 19/12 + 26/12 - Vacances de Noël,,,,,,
,,,SEMESTRE 6,,,,,,
,,,,,,,,,
,lundi 02/01/2023,,mardi 03/01/2023,,mercredi 04/01/2023,,jeudi 05/01/2023,,vendredi 06/01/2023
,Férié ,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 09/01/2023,,mardi 10/01/2023,,mercredi 11/01/2023,,jeudi 12/01/2023,,vendredi 13/01/2023
,Sécrurité Réseaux,,Sécrurité Réseaux,,"Nahco3
Sécurité shellcode
(Shellcode security)
de 10h à 18h",,"Nahco3
Sécurité shellcode
(Shellcode security)
de 10h à 18h",,"Nahco3
Sécurité shellcode
(Shellcode security)
de 10h à 18h"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 16/01/2023,,mardi 17/01/2023,,mercredi 18/01/2023,,jeudi 19/01/2023,,vendredi 20/01/2023
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 23/01/2023,,mardi 24/01/2023,,mercredi 25/01/2023,,jeudi 26/01/2023,,vendredi 27/01/2023
,Sécrurité Réseaux,,Sécrurité Réseaux,,"Nahco3
Durcissement Linux 
(Linux hardening)
de 10h à 18h",,"Nahco3
Durcissement Linux 
(Linux hardening)
de 10h à 18h",,"Nahco3
Durcissement Linux 
(Linux hardening)
de 10h à 18h"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 30/01/2023,,mardi 31/01/2023,,mercredi 01/02/2023,,jeudi 02/02/2023,,vendredi 03/02/2023
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 06/02/2023,,mardi 07/02/2023,,mercredi 08/02/2023,,jeudi 09/02/2023,,vendredi 10/02/2023
,Sécrurité Réseaux,,"Nahco3
Analyse de malwares (Malware analysis)
de 10h à 18h",,"Nahco3
Analyse de malwares (Malware analysis)
de 10h à 18h",,"Nahco3
Analyse de malwares (Malware analysis)
de 10h à 18h",,Cours Securité du matériel au logiciel
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 13/02/2023,,mardi 14/02/2023,,mercredi 15/02/2023,,jeudi 16/02/2023,,vendredi 17/02/2023
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 20/02/2023,,mardi 21/02/2023,,mercredi 22/02/2023,,jeudi 23/02/2023,,vendredi 24/02/2023
,"Nahco3
Analyse de malwares (Malware analysis)
de 10h à 18h",,,,,,,,ISO 2700x
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Semaine 27/02 - Vacances d'Hiver,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 06/03/2023,,mardi 07/03/2023,,mercredi 08/03/2023,,jeudi 09/03/2023,,vendredi 10/03/2023
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 13/03/2023,,mardi 14/03/2023,,mercredi 15/03/2023,,jeudi 16/03/2023,,vendredi 17/03/2023
,Management,,"Nahco3
Forensics (investigation numérique)
de 10h à 18h",,"Nahco3
Forensics (investigation numérique)
de 10h à 18h",,"Nahco3
Forensics (investigation numérique)
de 10h à 18h",,"Nahco3
Forensics (investigation numérique)
de 10h à 18h"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 20/03/2023,,mardi 21/03/2023,,mercredi 22/03/2023,,jeudi 23/03/2023,,vendredi 24/03/2023
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 27/03/2023,,mardi 28/03/2023,,mercredi 29/03/2023,,jeudi 30/03/2023,,vendredi 31/03/2023
,,,,,,,Management,,Management
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 03/04/2023,,mardi 04/04/2023,,mercredi 05/04/2023,,jeudi 06/04/2023,,vendredi 07/04/2023
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,ATTENTION : Jour commun donc cours en distanciel. ,,ATTENTION : Jour commun donc cours en distanciel. 
,lundi 10/04/2023,,mardi 11/04/2023,,mercredi 12/04/2023,,jeudi 13/04/2023,,vendredi 14/04/2023
,Férié - Lundi de Pâques,,Risques Psychosociaux,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ATTENTION : Jour commun donc cours en distanciel. ,,ATTENTION : Jour commun donc cours en distanciel. ,,ATTENTION : Jour commun donc cours en distanciel. ,,ATTENTION : Jour commun donc cours en distanciel. ,,ATTENTION : Jour commun donc cours en distanciel. 
,lundi 17/04/2023,,mardi 18/04/2023,,mercredi 19/04/2023,,jeudi 20/04/2023,,vendredi 21/04/2023
,Gestion de crise & Réponse à Incident,,Gestion de crise & Réponse à Incident,,Gestion de crise & Réponse à Incident,,Gestion de crise & Réponse à Incident,,Gestion de crise & Réponse à Incident
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 24/04/2023,,mardi 25/04/2023,,mercredi 26/04/2023,,jeudi 27/04/2023,,vendredi 28/04/2023
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Semaine 01/05 - Vacances de Printemps,,,,,,
,,,,,,,,,
,,,,Fin des cours pour la semaine A le 21/04/2023,,Fin des cours pour la semaine B le 28/04/2023,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 08/05/2023,,mardi 09/05/2023,,mercredi 10/05/2023,,jeudi 11/05/2023,,vendredi 12/05/2023
,Férié,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 15/05/2023,,mardi 16/05/2023,,mercredi 17/05/2023,,jeudi 18/05/2023,,vendredi 19/05/2023
,PFE,,PFE,,PFE,,Férié,,Férié
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 22/05/2023,,mardi 23/05/2023,,mercredi 24/05/2023,,jeudi 25/05/2023,,vendredi 26/05/2023
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 29/05/2023,,mardi 30/05/2023,,mercredi 31/05/2023,,jeudi 01/06/2023,,vendredi 02/06/2023
,ENTREPRISE,,PFE,,PFE,,PFE,,PFE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,vendredi 05/05/2023,,samedi 06/05/2023,,dimanche 07/05/2023,,lundi 08/05/2023,,mardi 09/05/2023
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 12/06/2023,,mardi 13/06/2023,,mercredi 14/06/2023,,jeudi 15/06/2023,,vendredi 16/06/2023
,PFE,,PFE,,PFE,,PFE,,PFE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ATTENTION : Jour commun donc cours en distanciel. ,,ATTENTION : Jour commun donc cours en distanciel. ,,ATTENTION : Jour commun donc cours en distanciel. ,,ATTENTION : Jour commun donc cours en distanciel. ,,ATTENTION : Jour commun donc cours en distanciel. 
,lundi 19/06/2023,,mardi 20/06/2023,,mercredi 21/06/2023,,jeudi 22/06/2023,,vendredi 23/06/2023
,PFE,,PFE,,PFE,,PFE,,PFE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 26/06/2023,,mardi 27/06/2023,,mercredi 28/06/2023,,jeudi 29/06/2023,,vendredi 30/06/2023
,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE,,ENTREPRISE
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lundi 03/07/2023,,mardi 04/07/2023,,mercredi 05/07/2023,,jeudi 06/07/2023,,vendredi 07/07/2023
,PFE,,PFE,,PFE,,ENTREPRISE,,ENTREPRISE